Year,AdminCity,City,Population,Male,Female,Latitude,Longitude
2010,Blagoevgrad,Bansko,8562,4258,4304,41.8383,23.488
2010,Blagoevgrad,Belitsa,3091,1469,1622,41.9494,23.5725
2010,Blagoevgrad,Blagoevgrad,70259,33554,36705,42.0167,23.1
2010,Blagoevgrad,Gotse Delchev,19721,9458,10263,41.5667,23.7333
2010,Blagoevgrad,Dobrinishte,2681,1310,1371,41.825,23.5594
2010,Blagoevgrad,Kresna,3428,1708,1720,41.73,23.1569
2010,Blagoevgrad,Melnik,347,206,141,41.5231,23.3925
2010,Blagoevgrad,Petrich,29836,14305,15531,41.3981,23.2072
2010,Blagoevgrad,Razlog,12472,6082,6390,41.8864,23.4678
2010,Blagoevgrad,Sandanski,26959,12930,14029,41.5667,23.2833
2010,Blagoevgrad,Simitli,6781,3353,3428,41.8936,23.1069
2010,Blagoevgrad,Hadzhidimovo,2610,1301,1309,41.5167,23.8667
2010,Blagoevgrad,Yakoruda,5627,2712,2915,42.02,23.6833
2010,Burgas,Aytos,20930,10062,10868,42.7,27.25
2010,Burgas,Aheloy,2183,1095,1088,42.6483,27.6494
2010,Burgas,Ahtopol,1310,645,665,42.1,27.95
2010,Burgas,Burgas,193564,92598,100966,42.4975,27.47
2010,Burgas,Bulgarovo,1819,894,925,42.65,27.3333
2010,Burgas,Kableshkovo,2820,1400,1420,42.6167,27.5667
2010,Burgas,Kameno,4784,2295,2489,42.5667,27.3667
2010,Burgas,Karnobat,18214,8760,9454,42.65,26.9833
2010,Burgas,Kiten,1127,583,544,42.2344,27.7711
2010,Burgas,Malko Tarnovo,2377,1151,1226,41.9833,27.5333
2010,Burgas,Nesebar,12133,6128,6005,42.66,27.72
2010,Burgas,Obzor,2351,1225,1126,42.8167,27.8833
2010,Burgas,Pomorie,13432,6496,6936,42.55,27.65
2010,Burgas,Primorsko,3282,1605,1677,42.2667,27.75
2010,Burgas,Sveti Vlas,3886,2184,1702,42.7167,27.7667
2010,Burgas,Sozopol,5286,2580,2706,42.4167,27.7
2010,Burgas,Sredets,9122,4443,4679,42.3483,27.1933
2010,Burgas,Sungurlare,3282,1604,1678,42.7667,26.7833
2010,Burgas,Tsarevo,5882,2870,3012,42.17,27.85
